sh /tmp/rs.sh; echo RS_DONE_$?
=== trace size ===
  818 /root/deskmon.csv
=== is anything still alive? ===
  Xfbdev       -
  jwm          -
  st           -
  xfiles       -
  xcalc        -
  s31-deskmon  206
=== oom kills ===
  [ 3471.290719] InputThread invoked oom-killer: gfp_mask=0x140cca(GFP_HIGHUSER_MOVABLE|__GFP_COMP), order=0, oom_score_adj=0
  [ 3471.300459] oom-kill:constraint=CONSTRAINT_NONE,nodemask=(null),task=Xfbdev,pid=187,uid=0
  [ 3471.300744] Out of memory: Killed process 187 (Xfbdev) total-vm:15668kB, anon-rss:64kB, file-rss:484kB, shmem-rss:0kB, UID:0 pgtables:28kB oom_score_adj:0
=== BEGIN_CSV ===
uptime,xdata_kb,xrss_kb,xswap_kb,xmajflt,xcpu_ticks,updates,memavail_kb,swap_kb,jwm_kb,st_kb,xfiles_kb,xcalc_kb
1857,7888,3012,4376,1504,3377,25,2196,7836,100,8,8,
1864,7888,3012,4376,1504,3386,24,2316,7836,100,8,8,
1872,7888,3012,4376,1504,3395,25,2240,7836,100,8,8,
1880,7888,3012,4376,1504,3405,25,2308,7836,100,8,8,
1888,7888,3012,4376,1504,3415,25,2256,7836,100,8,8,
1895,7888,3012,4376,1504,3425,24,2252,7836,100,8,8,
1903,7888,3012,4376,1504,3435,25,2300,7836,100,8,8,
1911,7888,3012,4376,1504,3444,25,2196,7836,100,8,8,
1918,7888,3012,4376,1504,3453,25,2240,7836,100,8,8,
1926,7888,3012,4376,1504,3463,24,2244,7836,100,8,8,
1934,7888,3012,4376,1504,3472,25,2232,7836,100,8,8,
1941,7888,3012,4376,1504,3482,25,2308,7836,100,8,8,
1949,7888,3012,4376,1504,3492,25,2232,7836,100,8,8,
1957,7888,3012,4376,1504,3501,24,2196,7836,100,8,8,
1964,7888,3012,4376,1504,3511,25,2300,7836,100,8,8,
1972,7888,3012,4376,1504,3521,25,2240,7836,100,8,8,
1980,7888,3012,4376,1504,3530,25,2316,7836,100,8,8,
1987,7888,3012,4376,1504,3540,24,2252,7836,100,8,8,
1995,7888,3012,4376,1504,3551,25,2284,7836,100,8,8,
2003,7888,3012,4376,1504,3560,25,2232,7836,100,8,8,
2010,7888,3012,4376,1504,3569,25,2312,7836,100,8,8,
2018,7888,3012,4376,1504,3578,24,2312,7836,100,8,8,
2026,7888,3012,4376,1504,3589,25,2228,7836,100,8,8,
2033,7888,3012,4376,1504,3598,25,2192,7836,100,8,8,
2041,7888,3012,4376,1504,3607,25,2192,7836,100,8,8,
2049,7888,3012,4376,1504,3618,24,2360,7836,100,8,8,
2056,7888,3012,4376,1504,3627,25,2228,7836,100,8,8,
2064,7888,3012,4376,1504,3637,25,2240,7836,100,8,8,
2072,7888,3012,4376,1504,3646,25,2296,7836,100,8,8,
2080,7888,3012,4376,1504,3656,24,2312,7836,100,8,8,
2087,7888,3012,4376,1504,3666,25,2312,7836,100,8,8,
2095,7888,3012,4376,1504,3675,25,2304,7836,100,8,8,
2103,7888,3012,4376,1504,3685,25,2228,7836,100,8,8,
2110,7888,3012,4376,1504,3694,24,2228,7836,100,8,8,
2118,7888,3012,4376,1504,3705,25,2216,7836,100,8,8,
2126,7888,3012,4376,1504,3714,25,2232,7836,100,8,8,
2133,7888,3012,4376,1504,3722,25,2220,7836,100,8,8,
2141,7888,3012,4376,1504,3732,24,2196,7836,100,8,8,
2149,7888,3012,4376,1504,3742,25,2228,7836,100,8,8,
2156,7888,3012,4376,1504,3752,25,2232,7836,100,8,8,
2164,7888,3012,4376,1504,3761,25,2300,7836,100,8,8,
2172,7888,3012,4376,1504,3770,24,2236,7836,100,8,8,
2179,7888,3012,4376,1504,3780,25,2200,7836,100,8,8,
2187,7888,3012,4376,1504,3790,25,2200,7836,100,8,8,
2195,7888,3012,4376,1504,3799,25,2216,7836,100,8,8,
2202,7888,3012,4376,1504,3809,24,2320,7836,100,8,8,
2210,7888,3012,4376,1504,3820,25,2316,7836,100,8,8,
2218,7888,2976,4412,1504,3829,25,2232,7836,100,8,8,
2225,7888,2976,4412,1504,3838,25,1824,7836,100,8,8,
2233,7888,2976,4412,1504,3849,24,2192,7836,100,8,8,
2241,7888,2976,4412,1504,3858,25,2320,7836,100,8,8,
2248,7888,2976,4412,1504,3868,25,2344,7836,100,8,8,
2256,7888,2976,4412,1504,3877,24,2348,7836,100,8,8,
2264,7888,2976,4412,1504,3887,25,2280,7836,100,8,8,
2271,7888,2976,4412,1504,3896,25,2224,7836,100,8,8,
2279,7888,2976,4412,1504,3906,25,2268,7836,100,8,8,
2287,7888,2976,4412,1504,3917,24,2232,7836,100,8,8,
2294,7888,2976,4412,1504,3926,25,2268,7836,100,8,8,
2302,7888,2976,4412,1504,3936,25,2284,7836,100,8,8,
2310,7888,2976,4412,1504,3945,24,2336,7836,100,8,8,
2317,7888,2976,4412,1504,3955,25,2264,7836,100,8,8,
2325,7888,2976,4412,1504,3965,25,2264,7836,100,8,8,
2333,7888,2976,4412,1504,3974,25,2336,7836,100,8,8,
2340,7888,2976,4412,1504,3984,25,2240,7836,100,8,8,
2348,7888,2976,4412,1504,3993,24,2336,7836,100,8,8,
2356,7888,2976,4412,1504,4003,25,2336,7836,100,8,8,
2363,7888,2976,4412,1504,4012,25,2216,7836,100,8,8,
2371,7888,2976,4412,1504,4021,25,2272,7836,100,8,8,
2379,7888,2976,4412,1504,4031,24,2328,7836,100,8,8,
2386,7888,2976,4412,1504,4041,25,2264,7836,100,8,8,
2394,7888,2976,4412,1504,4050,25,2260,7836,100,8,8,
2402,7888,2976,4412,1504,4060,25,2332,7836,100,8,8,
2410,7888,2976,4412,1504,4069,24,2244,7836,100,8,8,
2417,7888,2976,4412,1504,4079,25,2332,7836,100,8,8,
2425,7888,2976,4412,1504,4089,25,2320,7836,100,8,8,
2433,7888,2976,4412,1504,4098,25,2256,7836,100,8,8,
2440,7888,2976,4412,1504,4108,24,2340,7836,100,8,8,
2448,7888,2976,4412,1504,4118,25,2332,7836,100,8,8,
2456,7888,2976,4412,1504,4127,25,2212,7836,100,8,8,
2463,7888,2976,4412,1504,4137,25,2264,7836,100,8,8,
2471,7888,2976,4412,1504,4146,24,2332,7836,100,8,8,
2479,7888,2976,4412,1504,4156,25,2212,7836,100,8,8,
2486,7888,2976,4412,1504,4166,25,2256,7836,100,8,8,
2494,7888,2976,4412,1504,4175,25,2264,7836,100,8,8,
2502,7888,2976,4412,1504,4185,24,2340,7836,100,8,8,
2509,7888,2976,4412,1504,4195,25,2264,7836,100,8,8,
2517,7888,2976,4412,1504,4205,25,2332,7836,100,8,8,
2525,7888,2976,4412,1504,4214,25,2272,7836,100,8,8,
2532,7888,2976,4412,1504,4224,24,2332,7836,100,8,8,
2540,7888,2976,4412,1504,4235,25,2212,7836,100,8,8,
2548,7888,2976,4412,1504,4245,25,2340,7836,100,8,8,
2555,7888,2976,4412,1504,4254,25,2332,7836,100,8,8,
2563,7888,2976,4412,1504,4263,24,2268,7836,100,8,8,
2571,7888,2912,4476,1504,4275,25,2388,7836,100,8,8,
2579,7888,2912,4476,1504,4285,25,2284,7836,100,8,8,
2586,7888,2912,4476,1504,4293,25,2316,7836,100,8,8,
2594,7888,2912,4476,1504,4304,24,2296,7836,100,8,8,
2602,7888,2912,4476,1504,4314,25,2384,7836,100,8,8,
2609,7888,2912,4476,1504,4323,25,2408,7836,100,8,8,
2617,7888,2912,4476,1504,4333,25,2404,7836,100,8,8,
2625,7888,2912,4476,1504,4343,24,2292,7836,100,8,8,
2632,7888,2912,4476,1504,4352,25,2292,7836,100,8,8,
2640,7888,2912,4476,1504,4362,25,2412,7836,100,8,8,
2648,7888,2912,4476,1504,4370,24,2340,7836,100,8,8,
2655,7888,2912,4476,1504,4380,25,2328,7836,100,8,8,
2663,7888,2912,4476,1504,4390,25,2316,7836,100,8,8,
2671,7888,2912,4476,1504,4400,25,2412,7836,100,8,8,
2678,7888,2912,4476,1504,4409,24,2332,7836,100,8,8,
2686,7888,2912,4476,1504,4419,25,2372,7836,100,8,8,
2694,7888,2912,4476,1504,4429,25,2332,7836,100,8,8,
2701,7888,2912,4476,1504,4439,25,2316,7836,100,8,8,
2709,7888,2912,4476,1504,4448,24,2400,7836,100,8,8,
2717,7888,2912,4476,1504,4458,25,2276,7836,100,8,8,
2724,7888,2912,4476,1504,4467,25,2276,7836,100,8,8,
2732,7888,2912,4476,1504,4477,25,2284,7836,100,8,8,
2740,7888,2912,4476,1504,4487,24,2320,7836,100,8,8,
2747,7888,2912,4476,1504,4498,25,2332,7836,100,8,8,
2755,7888,2912,4476,1504,4507,25,2320,7836,100,8,8,
2763,7888,2912,4476,1504,4516,25,2284,7836,100,8,8,
2770,7888,2912,4476,1504,4526,24,2388,7836,100,8,8,
